landlord,name,phone,score
1,Grace,0979229051,6
2,David,0907838254,9
3,Henry,0936113356,8
4,Alice,0924183892,6
5,Kate,0925903263,7
6,Yvonne,0956224726,4
7,Liam,0993472792,1
8,Uma,0963769226,3
9,Rachel,0970944889,8
10,Mia,0941857089,3
11,Emma,0993756628,4
12,Olivia,0946394965,10
13,Wendy,0949104983,10
14,Jack,0909146229,1
15,Frank,0948467192,1
16,Ivy,0923466621,4
17,Tina,0991459179,1
18,Sam,0983180574,7
19,Bob,0925764642,7
20,Charlie,0915398677,5
21,Victor,0933321313,9
22,Quinn,0979217976,2
23,Xander,0929092527,10
24,Noah,0902934361,2
25,Peter,0915794107,1
