landlord,name,phone,score
LL1,Sam,0902039141,5
LL2,Grace,0938808820,2
LL3,Tina,0924562441,8
LL4,Noah,0969580139,2
LL5,Yvonne,0942261585,4
LL6,Bob,0977092365,7
LL7,David,0933290369,10
LL8,Victor,0976679518,1
LL9,Rachel,0953010322,7
LL10,Henry,0923267292,1
LL11,Xander,0971342023,3
LL12,Wendy,0930049938,3
LL13,Mia,0923151486,4
LL14,Uma,0986743730,8
LL15,Olivia,0986730688,4
LL16,Alice,0941992682,3
LL17,Kate,0919927960,3
LL18,Zach,0919426755,8
LL19,Liam,0914311036,10
LL20,Frank,0981949957,4
LL21,Ivy,0939618206,3
LL22,Jack,0962592654,8
LL23,Peter,0908951784,8
LL24,Charlie,0912559224,3
LL25,Quinn,0987205406,3
